epoch,time,train/giou_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/giou_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
173,39174.9,0.4467,0.50314,0.17176,0.92714,0.85193,0.92416,0.65718,0.34128,0.41187,0.16969,0.004324,0.004324,0.004324
174,39355.5,0.49513,0.50172,0.18592,0.91385,0.85854,0.92262,0.65456,0.33936,0.41092,0.16839,0.004291,0.004291,0.004291
175,39560.3,0.71325,0.51015,0.24222,0.91982,0.85808,0.91548,0.62135,0.37353,0.41819,0.17272,0.004258,0.004258,0.004258
176,39779.1,0.52131,0.5135,0.18654,0.90591,0.83785,0.90163,0.57663,0.424,0.42354,0.18161,0.004225,0.004225,0.004225
177,39971.6,0.44695,0.49989,0.17517,0.92225,0.84598,0.91429,0.61217,0.38593,0.41866,0.17563,0.004192,0.004192,0.004192
178,40195.5,0.44008,0.50239,0.17142,0.90955,0.86006,0.92014,0.6496,0.3491,0.41199,0.17091,0.004159,0.004159,0.004159
179,40388.5,0.45104,0.49691,0.17007,0.91357,0.8654,0.92315,0.66148,0.33746,0.40843,0.16659,0.004126,0.004126,0.004126
180,40600.9,0.43698,0.49616,0.16757,0.92297,0.86543,0.92688,0.66165,0.33555,0.40446,0.1663,0.004093,0.004093,0.004093
181,40815.6,0.43465,0.49069,0.16166,0.91715,0.8652,0.9255,0.66382,0.334,0.40627,0.16782,0.00406,0.00406,0.00406
182,40978,0.43049,0.49895,0.16733,0.9105,0.87801,0.92589,0.66572,0.33239,0.40697,0.16502,0.004027,0.004027,0.004027
183,41180.7,0.43422,0.49343,0.16434,0.92782,0.86586,0.92775,0.66859,0.33037,0.40268,0.16573,0.003994,0.003994,0.003994
